# BUSCO version is: 5.8.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	h1tg000016l_path	363877	351446	-	3761.3	2652	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	h1tg000005l_path	303124	314358	+	4231.5	2825	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	h1tg000016l_path	63647	54534	-	2401.4	2108	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	h1tg000014l_path	172334	165744	-	3405.2	1777	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	h1tg000016l_path	315879	307018	-	1703.5	1686	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	h1tg000002l_path	1370642	1380444	+	2025.3	1810	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Fragmented	h1tg000005l_path	481319	429873	-	1689.6	929	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	h1tg000018l_path	661259	654620	-	3330.5	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	h1tg000012l_path	131717	139087	+	2013.2	1449	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	h1tg000002l_path	155640	149208	-	3257.7	1790	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	h1tg000013l_path	112391	106008	-	1727.2	1421	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	h1tg000009l_path	505595	512699	+	1222.8	1235	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	h1tg000009l_path	59387	51027	-	348.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	h1tg000018l_path	148194	154834	+	2294.0	1578	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	h1tg000016l_path	743943	738355	-	1374.0	1009	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	h1tg000012l_path	107693	102755	-	2550.8	1455	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	h1tg000007l_path	961523	966511	+	2438.1	1332	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	h1tg000015l_path	100708	106383	+	2545.6	1509	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	h1tg000003l_path	184847	191236	+	1143.4	800	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	h1tg000014l_path	217272	211966	-	1263.6	1194	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	h1tg000002l_path	704474	709242	+	1333.3	987	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	h1tg000002l_path	210569	205395	-	2533.2	1303	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	h1tg000015l_path	506189	501602	-	1361.4	876	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	h1tg000010l_path	282197	288460	+	1243.5	1089	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	h1tg000007l_path	544564	540279	-	2181.4	1186	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	h1tg000007l_path	617069	613416	-	2184.9	1049	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Missing
